[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s2 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf =====
  batch 16000/25650 | loss -9.2456 | eta 2.4 min [nsf p1 chunk 6/10]
  batch 17000/25650 | loss -9.2484 | eta 2.1 min [nsf p1 chunk 6/10]
  batch 18000/25650 | loss -9.2524 | eta 1.9 min [nsf p1 chunk 6/10]
  batch 19000/25650 | loss -9.2565 | eta 1.7 min [nsf p1 chunk 6/10]
  batch 20000/25650 | loss -9.2607 | eta 1.4 min [nsf p1 chunk 6/10]
  batch 21000/25650 | loss -9.2628 | eta 1.2 min [nsf p1 chunk 6/10]
  batch 22000/25650 | loss -9.2647 | eta 0.9 min [nsf p1 chunk 6/10]
  batch 23000/25650 | loss -9.2673 | eta 0.7 min [nsf p1 chunk 6/10]
  batch 24000/25650 | loss -9.2695 | eta 0.4 min [nsf p1 chunk 6/10]
  batch 25000/25650 | loss -9.2695 | eta 0.2 min [nsf p1 chunk 6/10]
[nsf|p1] chunk 6/10 | train -9.2721 | val -8.5801
  batch 1000/25650 | loss -9.3370 | eta 6.1 min [nsf p1 chunk 7/10]
  batch 2000/25650 | loss -9.3502 | eta 5.8 min [nsf p1 chunk 7/10]
  batch 3000/25650 | loss -9.3404 | eta 5.5 min [nsf p1 chunk 7/10]
  batch 4000/25650 | loss -9.3392 | eta 5.2 min [nsf p1 chunk 7/10]
  batch 5000/25650 | loss -9.3388 | eta 5.0 min [nsf p1 chunk 7/10]
  batch 6000/25650 | loss -9.3377 | eta 4.7 min [nsf p1 chunk 7/10]
  batch 7000/25650 | loss -9.3333 | eta 4.7 min [nsf p1 chunk 7/10]
