[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1/seed_s0 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s0/nle/standard_t/nsf =====
  batch 2000/25650 | loss -8.7526 | eta 18.7 min [nsf p1 chunk 5/10]
  batch 3000/25650 | loss -8.7550 | eta 18.2 min [nsf p1 chunk 5/10]
  batch 4000/25650 | loss -8.7770 | eta 16.9 min [nsf p1 chunk 5/10]
  batch 5000/25650 | loss -8.7841 | eta 16.3 min [nsf p1 chunk 5/10]
  batch 6000/25650 | loss -8.7919 | eta 15.4 min [nsf p1 chunk 5/10]
  batch 7000/25650 | loss -8.8008 | eta 14.6 min [nsf p1 chunk 5/10]
  batch 8000/25650 | loss -8.8019 | eta 14.1 min [nsf p1 chunk 5/10]
  batch 9000/25650 | loss -8.8026 | eta 13.2 min [nsf p1 chunk 5/10]
  batch 10000/25650 | loss -8.8022 | eta 12.3 min [nsf p1 chunk 5/10]
  batch 11000/25650 | loss -8.8023 | eta 11.5 min [nsf p1 chunk 5/10]
  batch 12000/25650 | loss -8.8020 | eta 10.7 min [nsf p1 chunk 5/10]
  batch 13000/25650 | loss -8.8039 | eta 10.0 min [nsf p1 chunk 5/10]
  batch 14000/25650 | loss -8.8065 | eta 9.3 min [nsf p1 chunk 5/10]
  batch 15000/25650 | loss -8.8059 | eta 8.4 min [nsf p1 chunk 5/10]
  batch 16000/25650 | loss -8.8110 | eta 7.6 min [nsf p1 chunk 5/10]
  batch 17000/25650 | loss -8.8154 | eta 6.8 min [nsf p1 chunk 5/10]
