[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s1 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s1/nle/standard_t/nsf =====
  batch 22000/25650 | loss -8.7977 | eta 1.6 min [nsf p1 chunk 4/10]
  batch 23000/25650 | loss -8.8025 | eta 1.1 min [nsf p1 chunk 4/10]
  batch 24000/25650 | loss -8.8072 | eta 0.7 min [nsf p1 chunk 4/10]
  batch 25000/25650 | loss -8.8107 | eta 0.3 min [nsf p1 chunk 4/10]
[nsf|p1] chunk 4/10 | train -8.8134 | val -7.9564
  saved best (-7.9564) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s1/nle/standard_t/nsf
  batch 1000/25650 | loss -8.9306 | eta 11.0 min [nsf p1 chunk 5/10]
  batch 2000/25650 | loss -8.9209 | eta 10.4 min [nsf p1 chunk 5/10]
  batch 3000/25650 | loss -8.9253 | eta 10.1 min [nsf p1 chunk 5/10]
  batch 4000/25650 | loss -8.9289 | eta 9.8 min [nsf p1 chunk 5/10]
  batch 5000/25650 | loss -8.9392 | eta 8.9 min [nsf p1 chunk 5/10]
  batch 6000/25650 | loss -8.9407 | eta 9.5 min [nsf p1 chunk 5/10]
  batch 7000/25650 | loss -8.9428 | eta 11.6 min [nsf p1 chunk 5/10]
  batch 8000/25650 | loss -8.9401 | eta 7.9 min [nsf p1 chunk 5/10]
  batch 9000/25650 | loss -8.9435 | eta 7.3 min [nsf p1 chunk 5/10]
  batch 10000/25650 | loss -8.9462 | eta 6.4 min [nsf p1 chunk 5/10]
  batch 11000/25650 | loss -8.9528 | eta 7.8 min [nsf p1 chunk 5/10]
  batch 12000/25650 | loss -8.9554 | eta 8.5 min [nsf p1 chunk 5/10]
  batch 13000/25650 | loss -8.9569 | eta 6.4 min [nsf p1 chunk 5/10]
  batch 14000/25650 | loss -8.9652 | eta 5.0 min [nsf p1 chunk 5/10]
  batch 15000/25650 | loss -8.9657 | eta 8.4 min [nsf p1 chunk 5/10]
  batch 16000/25650 | loss -8.9703 | eta 5.3 min [nsf p1 chunk 5/10]
  batch 17000/25650 | loss -8.9751 | eta 3.9 min [nsf p1 chunk 5/10]
  batch 18000/25650 | loss -8.9791 | eta 3.3 min [nsf p1 chunk 5/10]
  batch 19000/25650 | loss -8.9798 | eta 3.0 min [nsf p1 chunk 5/10]
  batch 20000/25650 | loss -8.9841 | eta 2.5 min [nsf p1 chunk 5/10]
  batch 21000/25650 | loss -8.9873 | eta 2.0 min [nsf p1 chunk 5/10]
  batch 22000/25650 | loss -8.9893 | eta 1.6 min [nsf p1 chunk 5/10]
  batch 23000/25650 | loss -8.9933 | eta 1.2 min [nsf p1 chunk 5/10]
  batch 24000/25650 | loss -8.9966 | eta 0.7 min [nsf p1 chunk 5/10]
  batch 25000/25650 | loss -8.9985 | eta 0.3 min [nsf p1 chunk 5/10]
[nsf|p1] chunk 5/10 | train -9.0024 | val -8.3878
  saved best (-8.3878) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s1/nle/standard_t/nsf
  batch 1000/25650 | loss -9.1097 | eta 11.8 min [nsf p1 chunk 6/10]
  batch 2000/25650 | loss -9.1029 | eta 10.9 min [nsf p1 chunk 6/10]
  batch 3000/25650 | loss -9.0880 | eta 14.5 min [nsf p1 chunk 6/10]
  batch 4000/25650 | loss -9.0857 | eta 11.9 min [nsf p1 chunk 6/10]
  batch 5000/25650 | loss -9.0840 | eta 9.8 min [nsf p1 chunk 6/10]
  batch 6000/25650 | loss -9.0823 | eta 8.8 min [nsf p1 chunk 6/10]
  batch 7000/25650 | loss -9.0831 | eta 8.1 min [nsf p1 chunk 6/10]
  batch 8000/25650 | loss -9.0954 | eta 7.7 min [nsf p1 chunk 6/10]
  batch 9000/25650 | loss -9.0950 | eta 7.6 min [nsf p1 chunk 6/10]
  batch 10000/25650 | loss -9.1006 | eta 6.9 min [nsf p1 chunk 6/10]
  batch 11000/25650 | loss -9.1066 | eta 6.4 min [nsf p1 chunk 6/10]
  batch 12000/25650 | loss -9.1113 | eta 8.4 min [nsf p1 chunk 6/10]
  batch 13000/25650 | loss -9.1143 | eta 5.7 min [nsf p1 chunk 6/10]
  batch 14000/25650 | loss -9.1151 | eta 5.1 min [nsf p1 chunk 6/10]
  batch 15000/25650 | loss -9.1156 | eta 4.6 min [nsf p1 chunk 6/10]
  batch 16000/25650 | loss -9.1172 | eta 4.2 min [nsf p1 chunk 6/10]
  batch 17000/25650 | loss -9.1223 | eta 3.9 min [nsf p1 chunk 6/10]
  batch 18000/25650 | loss -9.1262 | eta 3.3 min [nsf p1 chunk 6/10]
  batch 19000/25650 | loss -9.1271 | eta 2.8 min [nsf p1 chunk 6/10]
  batch 20000/25650 | loss -9.1315 | eta 2.6 min [nsf p1 chunk 6/10]
  batch 21000/25650 | loss -9.1335 | eta 2.0 min [nsf p1 chunk 6/10]
  batch 22000/25650 | loss -9.1372 | eta 1.6 min [nsf p1 chunk 6/10]
  batch 23000/25650 | loss -9.1406 | eta 1.2 min [nsf p1 chunk 6/10]
  batch 24000/25650 | loss -9.1437 | eta 0.7 min [nsf p1 chunk 6/10]
  batch 25000/25650 | loss -9.1437 | eta 0.3 min [nsf p1 chunk 6/10]
[nsf|p1] chunk 6/10 | train -9.1446 | val -8.4730
  saved best (-8.4730) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s1/nle/standard_t/nsf
  batch 1000/25650 | loss -9.1793 | eta 11.1 min [nsf p1 chunk 7/10]
  batch 2000/25650 | loss -9.2054 | eta 10.6 min [nsf p1 chunk 7/10]
  batch 3000/25650 | loss -9.2202 | eta 9.7 min [nsf p1 chunk 7/10]
  batch 4000/25650 | loss -9.2120 | eta 10.2 min [nsf p1 chunk 7/10]
  batch 5000/25650 | loss -9.2091 | eta 9.1 min [nsf p1 chunk 7/10]
  batch 6000/25650 | loss -9.2188 | eta 8.6 min [nsf p1 chunk 7/10]
  batch 7000/25650 | loss -9.2155 | eta 8.1 min [nsf p1 chunk 7/10]
  batch 8000/25650 | loss -9.2154 | eta 7.6 min [nsf p1 chunk 7/10]
  batch 9000/25650 | loss -9.2151 | eta 7.3 min [nsf p1 chunk 7/10]
  batch 10000/25650 | loss -9.2140 | eta 6.7 min [nsf p1 chunk 7/10]
  batch 11000/25650 | loss -9.2151 | eta 6.4 min [nsf p1 chunk 7/10]
  batch 12000/25650 | loss -9.2170 | eta 5.9 min [nsf p1 chunk 7/10]
  batch 13000/25650 | loss -9.2185 | eta 5.5 min [nsf p1 chunk 7/10]
  batch 14000/25650 | loss -9.2221 | eta 5.2 min [nsf p1 chunk 7/10]
  batch 15000/25650 | loss -9.2236 | eta 4.6 min [nsf p1 chunk 7/10]
  batch 16000/25650 | loss -9.2242 | eta 4.3 min [nsf p1 chunk 7/10]
